Town,Stadium,12/06/2004,,,,13/06/2004,,,,14/06/2004,,,,15/06/2004,,,,16/06/2004,,,,17/06/2004,,,,18/06/2004,,,,19/06/2004,,,,20/06/2004,,,,21/06/2004,,,,22/06/2004,,,,23/06/2004,,,,24/06/2004,,,,25/06/2004,,,,26/06/2004,,,,27/06/2004,,,,30/06/2004,,,,01/07/2004,,,,04/07/2004,,,
Porto,Estádio do Dragão,1,17:00:00,A1,A2,,,,,,,,,8,19:45:00,D3,D4,,,,,,,,,14,19:45:00,C2,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,19:45:00,1D,2C,,,,,30,19:45:00,3,4,,,,
Faro-Loulé,Estádio do Algarve,2,19:45:00,A3,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19:45:00,A4,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porto,Estádio do Bessa Século XXI,,,,,,,,,,,,,,,,,9,19:45:00,A2,A3,,,,,,,,,15,17:00:00,D2,D3,,,,,,,,,22,19:45:00,C1,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisbon,Estádio da Luz,,,,,4,19:45:00,B3,B4,,,,,,,,,10,17:00:00,A4,A1,,,,,,,,,,,,,,,,,19,19:45:00,B2,B4,,,,,,,,,25,19:45:00,1A,2B,,,,,,,,,,,,,,,,,,,,,31,19:45:00,W1,W2
Lisbon,Estádio José Alvalade,,,,,,,,,6,19:45:00,C3,C4,,,,,,,,,,,,,,,,,,,,,17,19:45:00,A3,A1,,,,,,,,,24,19:45:00,D3,D1,,,,,27,19:45:00,1B,2A,,,,,,,,,29,19:45:00,1,2,,,,,,,,
Leiria,Estádio Dr. Magalhães Pessoa,,,,,3,17:00:00,B1,B2,,,,,,,,,,,,,12,19:45:00,B2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coimbra,Estádio Cidade de Coimbra,,,,,,,,,,,,,,,,,,,,,11,17:45:00,B4,B1,,,,,,,,,,,,,20,19:45:00,B1,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guimarães,Estádio D. Afonso Henriques,,,,,,,,,5,17:00:00,C1,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19:45:00,C2,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braga,Estádio Municipal de Braga,,,,,,,,,,,,,,,,,,,,,,,,,13,17:00:00,C4,C1,,,,,,,,,,,,,,,,,23,19:45:00,D4,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveiro,Estádio Municipal de Aveiro,,,,,,,,,,,,,7,17:00:00,D1,D2,,,,,,,,,,,,,16,19:45:00,D4,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loulé,Estádio do Algarve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,19:45:00,1C,2D,,,,,,,,,,,,,,,,
